source,target,days
143,577,5144
143,579,5149
143,640,5366
143,658,5442
144,169,4706
144,231,4737
146,173,4712
146,220,4734
146,244,4740
146,259,4744
146,266,4745
146,267,4746
146,274,4748
146,276,4748
146,317,4754
146,333,4757
146,348,4762
146,349,4762
146,368,4766
146,403,4777
146,405,4777
146,408,4779
146,409,4779
146,410,4779
146,414,4780
146,415,4780
146,422,4784
146,424,4784
146,437,4794
146,441,4798
146,444,4799
146,448,4801
146,454,4815
146,457,4825
146,458,4826
146,460,4834
146,461,4839
146,462,4846
146,471,4883
146,473,4898
146,474,4902
146,481,4930
146,503,4975
146,521,5035
146,530,5046
146,536,5065
146,564,5118
146,574,5137
147,338,4759
148,175,4712
148,183,4718
148,231,4737
148,272,4747
148,302,4751
148,323,4756
148,382,4770
148,428,4788
150,433,4792
152,398,4774
156,431,4791
163,198,4727
163,293,4750
163,436,4793
166,419,4782
169,189,4722
169,205,4729
169,231,4737
169,317,4754
170,376,4769
171,363,4765
172,239,4739
172,300,4751
172,404,4777
175,296,4751
176,197,4726
176,250,4742
176,261,4744
178,285,4750
179,317,4754
180,211,4731
180,339,4759
181,378,4769
181,446,4799
184,456,4823
184,589,5174
185,192,4724
186,261,4744
188,349,4762
188,472,4896
188,680,5491
188,698,5861
189,217,4734
189,369,4766
189,400,4776
191,423,4784
191,627,5326
191,663,5457
192,225,4735
194,450,4806
195,350,4763
196,240,4739
199,347,4762
200,319,4755
201,261,4744
204,208,4730
205,257,4743
205,400,4776
206,216,4733
206,362,4765
207,491,4943
208,294,4751
210,278,4748
221,373,4768
222,231,4737
223,231,4737
223,303,4751
228,229,4737
231,247,4741
231,456,4823
235,296,4751
237,454,4815
237,581,5151
238,370,4766
241,343,4760
244,330,4757
244,550,5089
244,565,5118
245,536,5065
246,405,4777
251,456,4823
254,453,4813
256,262,4744
263,460,4834
265,340,4759
268,273,4747
280,289,4750
280,416,4780
285,538,5072
286,465,4853
289,318,4755
294,321,4755
295,339,4759
299,518,5028
300,351,4763
306,674,5483
310,586,5159
312,379,4769
314,331,4757
314,358,4764
314,438,4794
319,336,4759
319,343,4760
319,407,4779
319,451,4808
319,485,4933
320,510,5002
323,428,4788
323,513,5017
323,520,5033
323,534,5058
323,590,5174
323,593,5180
323,660,5451
324,492,4948
325,426,4785
326,559,5105
326,570,5127
327,390,4772
328,342,4760
330,349,4762
333,386,4771
334,356,4764
337,390,4772
339,401,4777
339,460,4834
339,615,5288
341,346,4761
342,446,4799
349,502,4968
350,352,4763
351,518,5028
351,575,5140
353,356,4764
355,500,4962
357,501,4966
360,389,4772
360,577,5144
363,539,5072
366,377,4769
369,560,5110
387,485,4933
390,494,4949
394,574,5137
394,595,5183
397,491,4943
398,573,5137
398,575,5140
398,576,5143
398,603,5218
402,429,4789
408,459,4830
408,486,4934
409,521,5035
410,471,4883
412,675,5485
421,567,5120
424,456,4823
424,569,5124
430,666,5464
433,488,4939
434,435,4792
439,441,4798
440,442,4798
445,509,5000
456,570,5127
456,588,5173
457,524,5042
457,623,5312
460,496,4952
460,505,4982
460,529,5046
460,645,5393
464,495,4952
472,479,4924
474,476,4905
474,483,4933
474,490,4941
474,497,4956
474,502,4968
474,504,4979
474,511,5014
474,512,5014
474,515,5026
474,516,5027
474,522,5036
474,542,5074
474,556,5099
474,569,5124
474,585,5157
474,600,5208
474,601,5212
474,623,5312
474,645,5393
474,661,5452
474,666,5464
477,487,4939
477,498,4957
478,524,5042
483,528,5046
483,537,5066
484,514,5017
485,573,5137
489,540,5072
489,557,5099
491,501,4966
491,564,5118
502,680,5491
508,524,5042
509,609,5268
510,552,5093
516,531,5049
517,524,5042
521,527,5045
521,541,5073
521,545,5078
521,555,5098
521,562,5439
521,583,5154
521,586,5159
521,595,5183
521,601,5212
521,657,5441
521,659,5450
522,523,5036
522,549,5087
522,574,5137
524,525,5042
524,526,5044
524,543,5075
524,563,5116
524,578,5147
524,588,5173
524,589,5174
524,597,5189
525,609,5268
528,561,5851
530,551,5091
530,556,5099
534,535,5064
539,541,5073
542,547,5086
542,632,5335
542,633,5336
542,635,5354
544,552,5093
548,560,5110
553,591,5178
553,592,5179
553,596,5188
553,602,5217
553,605,5231
553,607,5261
553,608,5267
553,610,5272
553,611,5274
553,612,5276
553,614,5284
553,616,5288
553,618,5289
553,621,5309
553,622,5310
553,625,5312
553,626,5314
553,628,5326
553,629,5329
553,636,5356
553,637,5358
553,639,5365
553,644,5389
553,646,5397
553,647,5400
553,648,5408
553,654,5438
553,655,5438
553,656,5440
553,679,5490
556,584,5155
558,645,5393
566,595,5183
572,666,5464
574,595,5183
580,647,5400
582,587,5159
587,601,5212
588,589,5174
592,613,5284
592,643,5388
592,698,5861
595,619,5297
598,600,5208
598,604,5222
599,602,5217
601,666,5464
605,679,5490
606,643,5388
608,630,5330
608,631,5331
608,683,5505
609,624,5312
609,672,5478
613,622,5310
615,620,5303
617,620,5303
620,624,5312
620,627,5326
620,650,5420
630,654,5438
634,656,5440
638,656,5440
639,681,5493
641,642,5379
642,643,5388
643,644,5389
643,652,5429
643,653,5436
643,664,5462
643,670,5473
643,671,5473
643,676,5485
643,689,5675
643,690,5688
644,662,5455
648,651,5424
648,673,5478
648,688,5557
655,667,5464
656,667,5464
656,678,5488
656,684,5512
656,686,5521
656,691,5809
656,695,5857
656,697,5859
656,700,5876
656,704,5891
656,714,5909
656,720,5914
656,733,5932
666,680,5491
668,669,5471
668,682,5501
668,704,5891
670,687,5544
673,677,5486
691,692,5842
691,694,5853
691,701,5879
691,703,5889
691,705,5892
691,707,5898
691,708,5902
691,711,5907
691,717,5911
691,718,5911
691,726,5923
691,728,5924
691,729,5926
691,730,5929
691,734,5933
691,736,5936
691,737,5936
691,740,5938
691,741,5938
691,742,5938
691,745,5948
691,746,5949
691,748,5952
691,749,5952
691,751,5959
691,752,5962
691,753,5968
691,755,5975
691,756,5980
691,768,6096
691,771,6154
691,780,6241
692,693,5930
692,699,5868
692,702,5889
692,706,5892
692,710,5904
692,712,5907
692,715,5910
692,719,5912
692,721,5914
692,722,5916
692,723,5918
692,725,5923
692,731,5930
692,735,5934
692,739,5937
692,743,5941
692,744,5945
692,770,6144
693,747,5949
696,700,5876
697,709,5902
697,727,5923
703,716,5910
713,719,5912
721,730,5929
724,743,5941
729,734,5933
732,743,5941
737,738,5937
737,750,5956
744,754,5968
744,757,6025
744,758,6027
744,760,6051
744,762,6060
744,766,6085
744,767,6091
744,772,6178
744,774,6191
744,776,6207
744,777,6215
744,779,6240
744,781,6244
